# From J. Chem. Phys. 146, 204108 (2017); https://doi.org/10.1063/1.4984048
H0      3.06934903 4.02311175 4.08980207
H0      1.98111175 5.11134903 4.08980207
O0      2.10479519 4.14679519 4.19327115
Li7_2   0.00000000 0.00000000 0.00000000
Li3_2   0.00000000 4.08400000 0.00000000
Li7_2   4.08400000 0.00000000 0.00000000
Li3_2   4.08400000 4.08400000 0.00000000
Li3     0.00000000 2.04200000 2.04200000
Li3     0.00000000 6.12600000 2.04200000
Li3     4.08400000 2.04200000 2.04200000
Li3     4.08400000 6.12600000 2.04200000
Li5     2.04200000 0.00000000 2.04200000
Li1     2.04200000 4.08400000 2.04200000
Li8     6.12600000 0.00000000 2.04200000
Li5     6.12600000 4.08400000 2.04200000
Li3_2   2.04200000 2.04200000 0.00000000
Li3_2   2.04200000 6.12600000 0.00000000
Li7_2   6.12600000 2.04200000 0.00000000
Li7_2   6.12600000 6.12600000 0.00000000
H2      2.04200000 2.04200000 2.04200000
H2      2.04200000 6.12600000 2.04200000
H6      6.12600000 2.04200000 2.04200000
H6      6.12600000 6.12600000 2.04200000
H6_2    2.04200000 0.00000000 0.00000000
H2_2    2.04200000 4.08400000 0.00000000
H9_2    6.12600000 0.00000000 0.00000000
H6_2    6.12600000 4.08400000 0.00000000
H4_2    0.00000000 2.04200000 0.00000000
H4_2    0.00000000 6.12600000 0.00000000
H4_2    4.08400000 2.04200000 0.00000000
H4_2    4.08400000 6.12600000 0.00000000
H6      0.00000000 0.00000000 2.04200000
H2      0.00000000 4.08400000 2.04200000
H6      4.08400000 0.00000000 2.04200000
H2      4.08400000 4.08400000 2.04200000
