#distance  HF  EmbCCSD  EmbCCSD(v)  EmbCCSD(1C)  EmbCCSD(1C,v)  EmbCCSD(1C,f)
0.600000  -1.53820182e+02  -1.54430750e+02  -1.54464232e+02  -1.54077976e+02  -1.54069466e+02  -1.54238790e+02
0.700000  -1.54023192e+02  -1.54635113e+02  -1.54669256e+02  -1.54282200e+02  -1.54273623e+02  -1.54442113e+02
0.800000  -1.54110921e+02  -1.54725128e+02  -1.54759826e+02  -1.54372046e+02  -1.54363328e+02  -1.54532123e+02
0.900000  -1.54139650e+02  -1.54756742e+02  -1.54791880e+02  -1.54403469e+02  -1.54394544e+02  -1.54561792e+02
1.000000  -1.54138090e+02  -1.54758418e+02  -1.54793988e+02  -1.54404960e+02  -1.54395824e+02  -1.54558703e+02
1.100000  -1.54121353e+02  -1.54745316e+02  -1.54781286e+02  -1.54391714e+02  -1.54382306e+02  -1.54546878e+02
1.200000  -1.54097542e+02  -1.54725412e+02  -1.54761773e+02  -1.54371718e+02  -1.54362009e+02  -1.54528380e+02
1.300000  -1.54071053e+02  -1.54703144e+02  -1.54739900e+02  -1.54349402e+02  -1.54339408e+02  -1.54506874e+02
1.400000  -1.54044263e+02  -1.54680965e+02  -1.54718092e+02  -1.54327209e+02  -1.54316960e+02  -1.54485283e+02
1.500000  -1.54018407e+02  -1.54660172e+02  -1.54697613e+02  -1.54306428e+02  -1.54295959e+02  -1.54464871e+02
1.600000  -1.53994082e+02  -1.54641401e+02  -1.54679077e+02  -1.54287682e+02  -1.54277028e+02  -1.54446062e+02
1.700000  -1.53971535e+02  -1.54624902e+02  -1.54662740e+02  -1.54271207e+02  -1.54260403e+02  -1.54428923e+02
1.800000  -1.53950830e+02  -1.54610698e+02  -1.54648646e+02  -1.54257016e+02  -1.54246093e+02  -1.54413391e+02
1.900000  -1.53931927e+02  -1.54598682e+02  -1.54636714e+02  -1.54244995e+02  -1.54233977e+02  -1.54399583e+02
2.000000  -1.53914729e+02  -1.54588673e+02  -1.54626784e+02  -1.54234959e+02  -1.54223851e+02  -1.54388215e+02
2.100000  -1.53899110e+02  -1.54580442e+02  -1.54618641e+02  -1.54226683e+02  -1.54215465e+02  -1.54380053e+02
2.200000  -1.53884930e+02  -1.54573730e+02  -1.54612046e+02  -1.54219914e+02  -1.54208551e+02  -1.54374637e+02
2.300000  -1.53872054e+02  -1.54568292e+02  -1.54606758e+02  -1.54214408e+02  -1.54202856e+02  -1.54371399e+02
2.400000  -1.53860353e+02  -1.54563879e+02  -1.54602540e+02  -1.54209922e+02  -1.54198142e+02  -1.54368810e+02
2.500000  -1.53849710e+02  -1.54560289e+02  -1.54599220e+02  -1.54206255e+02  -1.54194247e+02  -1.54365479e+02
2.600000  -1.53840021e+02  -1.54557390e+02  -1.54596643e+02  -1.54203276e+02  -1.54191031e+02  -1.54362632e+02
2.700000  -1.53831190e+02  -1.54555056e+02  -1.54594656e+02  -1.54200860e+02  -1.54188358e+02  -1.54360726e+02
2.800000  -1.53823132e+02  -1.54553172e+02  -1.54593133e+02  -1.54198892e+02  -1.54186119e+02  -1.54359656e+02
2.900000  -1.53815767e+02  -1.54551645e+02  -1.54591975e+02  -1.54197281e+02  -1.54184227e+02  -1.54359224e+02
3.000000  -1.53809028e+02  -1.54550399e+02  -1.54591105e+02  -1.54195951e+02  -1.54182614e+02  -1.54359217e+02
3.100000  -1.53802854e+02  -1.54549377e+02  -1.54590461e+02  -1.54194847e+02  -1.54181228e+02  -1.54359480e+02
3.200000  -1.53797190e+02  -1.54548378e+02  -1.54590092e+02  -1.54193768e+02  -1.54180125e+02  -1.54351572e+02
3.300000  -1.53791990e+02  -1.54547682e+02  -1.54589789e+02  -1.54192996e+02  -1.54179096e+02  -1.54352278e+02
