#distance  HF  EmbCCSD  EmbCCSD(v)  EmbCCSD(1C)  EmbCCSD(1C,v)  EmbCCSD(1C,f)
0.600000  -1.53820182e+02  -1.54467745e+02  -1.54475298e+02  -1.54079331e+02  -1.54069445e+02  -1.54480113e+02
0.700000  -1.54023192e+02  -1.54672501e+02  -1.54681467e+02  -1.54283644e+02  -1.54273627e+02  -1.54677168e+02
0.800000  -1.54110921e+02  -1.54762795e+02  -1.54771613e+02  -1.54373563e+02  -1.54363350e+02  -1.54768882e+02
0.900000  -1.54139650e+02  -1.54794601e+02  -1.54802784e+02  -1.54405083e+02  -1.54394607e+02  -1.54802522e+02
1.000000  -1.54138090e+02  -1.54796527e+02  -1.54804129e+02  -1.54406699e+02  -1.54395920e+02  -1.54796393e+02
1.100000  -1.54121353e+02  -1.54783585e+02  -1.54790641e+02  -1.54393457e+02  -1.54382349e+02  -1.54777838e+02
1.200000  -1.54097542e+02  -1.54763829e+02  -1.54770451e+02  -1.54373480e+02  -1.54362022e+02  -1.54756507e+02
1.300000  -1.54071053e+02  -1.54741723e+02  -1.54748030e+02  -1.54351193e+02  -1.54339402e+02  -1.54732595e+02
1.400000  -1.54044263e+02  -1.54719731e+02  -1.54726037e+02  -1.54329028e+02  -1.54316932e+02  -1.54708918e+02
1.500000  -1.54018407e+02  -1.54699193e+02  -1.54705853e+02  -1.54308326e+02  -1.54295935e+02  -1.54705536e+02
1.600000  -1.53994082e+02  -1.54680574e+02  -1.54687420e+02  -1.54289590e+02  -1.54276954e+02  -1.54685952e+02
1.700000  -1.53971535e+02  -1.54664191e+02  -1.54671104e+02  -1.54273109e+02  -1.54260258e+02  -1.54664863e+02
1.800000  -1.53950830e+02  -1.54650086e+02  -1.54656951e+02  -1.54258902e+02  -1.54245853e+02  -1.54642975e+02
1.900000  -1.53931927e+02  -1.54638200e+02  -1.54644751e+02  -1.54246900e+02  -1.54233642e+02  -1.54635966e+02
2.000000  -1.53914729e+02  -1.54628293e+02  -1.54634281e+02  -1.54236858e+02  -1.54223404e+02  -1.54628125e+02
2.100000  -1.53899110e+02  -1.54620142e+02  -1.54625589e+02  -1.54228546e+02  -1.54214893e+02  -1.54620258e+02
2.200000  -1.53884930e+02  -1.54613505e+02  -1.54618600e+02  -1.54221730e+02  -1.54207842e+02  -1.54621647e+02
2.300000  -1.53872054e+02  -1.54608105e+02  -1.54613057e+02  -1.54216151e+02  -1.54202048e+02  -1.54610419e+02
2.400000  -1.53860353e+02  -1.54603743e+02  -1.54608637e+02  -1.54211626e+02  -1.54197243e+02  -1.54615607e+02
2.500000  -1.53849710e+02  -1.54600211e+02  -1.54605186e+02  -1.54207950e+02  -1.54193312e+02  -1.54596009e+02
2.600000  -1.53840021e+02  -1.54597349e+02  -1.54602427e+02  -1.54204955e+02  -1.54190032e+02  -1.54596287e+02
2.700000  -1.53831190e+02  -1.54595033e+02  -1.54600213e+02  -1.54202517e+02  -1.54187297e+02  -1.54595792e+02
2.800000  -1.53823132e+02  -1.54593159e+02  -1.54598427e+02  -1.54200525e+02  -1.54185005e+02  -1.54595065e+02
2.900000  -1.53815767e+02  -1.54591638e+02  -1.54596987e+02  -1.54198892e+02  -1.54183072e+02  -1.54594664e+02
3.000000  -1.53809028e+02  -1.54590400e+02  -1.54595833e+02  -1.54197547e+02  -1.54181431e+02  -1.54593818e+02
3.100000  -1.53802854e+02  -1.54589394e+02  -1.54594927e+02  -1.54196439e+02  -1.54180034e+02  -1.54592042e+02
3.200000  -1.53797190e+02  -1.54588589e+02  -1.54594253e+02  -1.54195537e+02  -1.54178863e+02  -1.54583198e+02
3.300000  -1.53791990e+02  -1.54587888e+02  -1.54593693e+02  -1.54194746e+02  -1.54177796e+02  -1.54585220e+02
