#distance  HF  EmbCCSD  EmbCCSD(v)  EmbCCSD(1C)  EmbCCSD(1C,v)  EmbCCSD(1C,f)
0.600000  -1.53672028e+02  -1.53970301e+02  -1.53988929e+02  -1.53787163e+02  -1.53778228e+02  -1.53975170e+02
0.700000  -1.53883518e+02  -1.54186629e+02  -1.54205216e+02  -1.54003267e+02  -1.53994323e+02  -1.54191761e+02
0.800000  -1.53975971e+02  -1.54283976e+02  -1.54302584e+02  -1.54100431e+02  -1.54091437e+02  -1.54290102e+02
0.900000  -1.54007857e+02  -1.54320797e+02  -1.54339272e+02  -1.54137088e+02  -1.54127993e+02  -1.54328153e+02
1.000000  -1.54009038e+02  -1.54326967e+02  -1.54345408e+02  -1.54143113e+02  -1.54133871e+02  -1.54335859e+02
1.100000  -1.53995013e+02  -1.54318082e+02  -1.54336516e+02  -1.54134078e+02  -1.54124662e+02  -1.54328495e+02
1.200000  -1.53973870e+02  -1.54302352e+02  -1.54320822e+02  -1.54118195e+02  -1.54108601e+02  -1.54314095e+02
1.300000  -1.53949867e+02  -1.54284197e+02  -1.54302502e+02  -1.54099852e+02  -1.54090095e+02  -1.54296989e+02
1.400000  -1.53925240e+02  -1.54265938e+02  -1.54284213e+02  -1.54081398e+02  -1.54071508e+02  -1.54279529e+02
1.500000  -1.53901130e+02  -1.54248812e+02  -1.54267125e+02  -1.54064054e+02  -1.54054064e+02  -1.54262966e+02
1.600000  -1.53878092e+02  -1.54233413e+02  -1.54251510e+02  -1.54048416e+02  -1.54038354e+02  -1.54247938e+02
1.700000  -1.53856379e+02  -1.54219952e+02  -1.54238065e+02  -1.54034731e+02  -1.54024617e+02  -1.54234735e+02
1.800000  -1.53836095e+02  -1.54208497e+02  -1.54226617e+02  -1.54023048e+02  -1.54012889e+02  -1.54223440e+02
1.900000  -1.53817263e+02  -1.54198970e+02  -1.54216942e+02  -1.54013291e+02  -1.54003082e+02  -1.54214005e+02
2.000000  -1.53799860e+02  -1.54191184e+02  -1.54209138e+02  -1.54005296e+02  -1.53995023e+02  -1.54206287e+02
2.100000  -1.53783832e+02  -1.54184941e+02  -1.54202883e+02  -1.53998852e+02  -1.53988491e+02  -1.54200087e+02
2.200000  -1.53769105e+02  -1.54180000e+02  -1.54197872e+02  -1.53993722e+02  -1.53983246e+02  -1.54195179e+02
2.300000  -1.53755590e+02  -1.54176126e+02  -1.54193885e+02  -1.53989675e+02  -1.53979054e+02  -1.54191344e+02
2.400000  -1.53743194e+02  -1.54173094e+02  -1.54190846e+02  -1.53986500e+02  -1.53975707e+02  -1.54188377e+02
2.500000  -1.53731826e+02  -1.54170752e+02  -1.54188371e+02  -1.53984015e+02  -1.53973025e+02  -1.54186086e+02
2.600000  -1.53721398e+02  -1.54168916e+02  -1.54186551e+02  -1.53982071e+02  -1.53970863e+02  -1.54184321e+02
2.700000  -1.53711830e+02  -1.54167495e+02  -1.54185095e+02  -1.53980543e+02  -1.53969104e+02  -1.54182966e+02
2.800000  -1.53703052e+02  -1.54166394e+02  -1.54183788e+02  -1.53979336e+02  -1.53967656e+02  -1.54181925e+02
2.900000  -1.53695001e+02  -1.54165504e+02  -1.54182928e+02  -1.53978374e+02  -1.53966451e+02  -1.54181124e+02
3.000000  -1.53687621e+02  -1.54164803e+02  -1.54182160e+02  -1.53977597e+02  -1.53965432e+02  -1.54180503e+02
3.100000  -1.53680865e+02  -1.54164242e+02  -1.54181545e+02  -1.53976963e+02  -1.53964561e+02  -1.54180015e+02
3.200000  -1.53674688e+02  -1.54163778e+02  -1.54181115e+02  -1.53976438e+02  -1.53963806e+02  -1.54179633e+02
3.300000  -1.53635066e+02  -1.54157785e+02  -1.54170765e+02  -1.53972035e+02  -1.53955807e+02  -1.54186168e+02
