#distance  HF  EmbCCSD  EmbCCSD(v)  EmbCCSD(1C)  EmbCCSD(1C,v)  EmbCCSD(1C,f)
0.600000  -1.53672028e+02  -1.53957861e+02  -1.53985398e+02  -1.53786837e+02  -1.53778116e+02  -1.53909737e+02
0.700000  -1.53883518e+02  -1.54174452e+02  -1.54201815e+02  -1.54003032e+02  -1.53994229e+02  -1.54145605e+02
0.800000  -1.53975971e+02  -1.54271962e+02  -1.54299147e+02  -1.54100208e+02  -1.54091372e+02  -1.54244558e+02
0.900000  -1.54007857e+02  -1.54308799e+02  -1.54336086e+02  -1.54136676e+02  -1.54127925e+02  -1.54269731e+02
1.000000  -1.54009038e+02  -1.54314996e+02  -1.54342138e+02  -1.54142641e+02  -1.54133704e+02  -1.54257368e+02
1.100000  -1.53995013e+02  -1.54306247e+02  -1.54333281e+02  -1.54133607e+02  -1.54124484e+02  -1.54249420e+02
1.200000  -1.53973870e+02  -1.54290633e+02  -1.54317661e+02  -1.54117734e+02  -1.54108424e+02  -1.54236168e+02
1.300000  -1.53949867e+02  -1.54272495e+02  -1.54299479e+02  -1.54099407e+02  -1.54089926e+02  -1.54220551e+02
1.400000  -1.53925240e+02  -1.54254217e+02  -1.54281325e+02  -1.54080971e+02  -1.54071351e+02  -1.54204671e+02
1.500000  -1.53901130e+02  -1.54236974e+02  -1.54264138e+02  -1.54063647e+02  -1.54053924e+02  -1.54189766e+02
1.600000  -1.53878092e+02  -1.54221417e+02  -1.54248788e+02  -1.54048030e+02  -1.54038239e+02  -1.54176598e+02
1.700000  -1.53856379e+02  -1.54207745e+02  -1.54235127e+02  -1.54034369e+02  -1.54024535e+02  -1.54165568e+02
1.800000  -1.53836095e+02  -1.54196038e+02  -1.54223550e+02  -1.54022717e+02  -1.54012851e+02  -1.54156576e+02
1.900000  -1.53817263e+02  -1.54186306e+02  -1.54214008e+02  -1.54012998e+02  -1.54003093e+02  -1.54149074e+02
2.000000  -1.53799860e+02  -1.54178262e+02  -1.54206087e+02  -1.54005046e+02  -1.53995086e+02  -1.54142627e+02
2.100000  -1.53783832e+02  -1.54171883e+02  -1.54199871e+02  -1.53998643e+02  -1.53988602e+02  -1.54137232e+02
2.200000  -1.53769105e+02  -1.54166728e+02  -1.54194805e+02  -1.53993548e+02  -1.53983400e+02  -1.54133135e+02
2.300000  -1.53755590e+02  -1.54162697e+02  -1.54190860e+02  -1.53989528e+02  -1.53979245e+02  -1.54130737e+02
2.400000  -1.53743194e+02  -1.54159532e+02  -1.54187804e+02  -1.53986378e+02  -1.53975921e+02  -1.54129607e+02
2.500000  -1.53731826e+02  -1.54157155e+02  -1.54185423e+02  -1.53983952e+02  -1.53973252e+02  -1.54125289e+02
2.600000  -1.53721398e+02  -1.54155310e+02  -1.54183545e+02  -1.53982065e+02  -1.53971107e+02  -1.54120614e+02
2.700000  -1.53711830e+02  -1.54153797e+02  -1.54182114e+02  -1.53980563e+02  -1.53969371e+02  -1.54118006e+02
2.800000  -1.53703052e+02  -1.54152696e+02  -1.54181049e+02  -1.53979370e+02  -1.53967944e+02  -1.54116340e+02
2.900000  -1.53695001e+02  -1.54151846e+02  -1.54180254e+02  -1.53978418e+02  -1.53966755e+02  -1.54115156e+02
3.000000  -1.53687621e+02  -1.54151106e+02  -1.54179458e+02  -1.53977650e+02  -1.53965750e+02  -1.54114273e+02
3.100000  -1.53680865e+02  -1.54150553e+02  -1.54178954e+02  -1.53977021e+02  -1.53964890e+02  -1.54113597e+02
3.200000  -1.53674688e+02  -1.54150082e+02  -1.54178471e+02  -1.53976500e+02  -1.53964144e+02  -1.54113071e+02
3.300000  -1.53635415e+02  -1.54148774e+02  -1.54168938e+02  -1.53976240e+02  -1.53959671e+02  -1.54112456e+02
